row_id,Name_norm,City_norm,Street_norm,Email_norm,Zip_norm,Phone_norm
1,allison hill,new roberttown,donald cove 164,allison.hill@example.com,12781,0104332181
2,jonathan johnson,robinsonshire,jennifer squares 9,jonathan.johnson@example.com,36964,0013389083
3,abigail shaffer,port matthew,peterson drives 180,abigail.shaffer@example.com,12657,0863794026
4,ian cooper,herrerafurt,roman stream 40,ian.cooper@example.com,10829,0351161559
5,ian cooper,herrerafurt,roman stream 40,in.cooper@example.co,10829,0351161559
6,sandra montgomery,north donnaport,ray squares 75,sandra.montgomery@example.com,10959,0131647525
7,sharon james,west michael,reid lakes 172,sharon.james@example.com,88342,0419283276
8,sharon james,west michael,seid lakes 172,sharon.jame@example.com,88342,0419283276
9,timothy wong,south noah,amanda gardens 102,timothy.wong@example.com,84387,0724238849
10,colleen nguyen,richardland,jeremy bypass 150,colleen.nguyen@example.com,28154,0653287101
11,collee nnguyen,richardland,jeremy bypass 150,colleen.nguyen@example.co,28154,0653217101
12,latoya robbins,thomasberg,diana locks 76,latoya.robbins@example.com,32826,0627048281
13,kimberly burgess,jeffreyberg,hurst locks 77,kimberly.burgess@example.com,67285,0893252880
14,peter callahan jr,south patrickmouth,laura manors 126,peter.callahan.jr.@example.com,69853,0015430391
15,peter callahan jr,south patrickmouth,laura maonrs 126,peter.callahan.jr.@example.com,69853,0015430391
16,peter calalhan jr,south patrickmouth,laura manors 126,peter.callahan.jr.@example.com,69853,0015430391
17,juan dunlap,kaylamouth,erin plain 17,juan.dunlap@example.com,15122,0509839301
18,christopher smith,new rita,stanton track 16,christopher.smith@example.com,82460,0310518347
19,christopher smith,new rita,satnton track 16,christopher.smith@example.com,82460,0310518347
20,mark lynch,new mariotown,nathaniel estates 187,mark.lynch@example.com,15163,0010651333
21,sherry decker,north jessicaland,allen garden 36,sherry.decker@example.com,70323,0624731781
22,sherry decker,oorth jessicaland,allen gbrden 36,sherrydecker@example.com,70323,0624731281
23,betty alvarez,brandtside,joseph well 56,betty.alvarez@example.com,99495,0098050097
24,christina collins,martinezbury,kim path 136,christina.collins@example.com,8893,0208121913
25,kevin hall,east carloston,adrian station 146,kevin.hall@example.com,43810,0399091699
26,david caldwell,sanchezfort,amber stream 67,david.caldwell@example.com,53855,0353462475
27,brent jordan,lake deniseville,jenkins way 19,brent.jordan@example.com,8445,0079911838
28,brent jordan,lake deniseville,jenkins way 19,brent.jordan@example.com,8445,0079911838
29,bent jordan,lake deniseville,jenkns way 19,brent.jordan@example.com,8445,0079911838
30,gerald hensley,taylorburgh,james plain 68,gerald.hensley@example.com,37010,0874016400
31,shannon jones,north sarabury,brent plains 34,shannon.jones@example.com,22299,0427868011
32,john hancock,bakermouth,franklin alley 177,john.hancock@example.com,37889,0280598262
33,john hancock,bakermouth,frankli alley 177,john.hancock@example.com,37889,0220598262
34,john hancoc,bakermouth,franklin alley 177,john.hancock@example.com,37889,0280598262
35,tyler cowan,north beth,moore hill 180,tyler.cowan@example.com,71567,0160733754
36,erik williams,north susan,shaw walk 59,erik.williams@example.com,11001,0303654145
