row_id,Name_norm,City_norm,Street_norm,Email_norm,Zip_norm,Phone_norm,email_user,phone_last4,entity_id
1,allison hill,new roberttown,donald cove 164,allison.hill@example.com,12781,0104332181,allison.hill,2181,ent_b6589fc6ab0d
2,jonathan johnson,robinsonshire,jennifer squares 9,jonathan.johnson@example.com,36964,0013389083,jonathan.johnson,9083,ent_356a192b7913
3,abigail shaffer,port matthew,peterson drives 180,abigail.shaffer@example.com,12657,0863794026,abigail.shaffer,4026,ent_da4b9237bacc
4,ian cooper,herrerafurt,roman stream 40,ian.cooper@example.com,10829,0351161559,ian.cooper,1559,ent_f574ec2b69d7
5,ian cooper,herrerafurt,roman stream 40,in.cooper@example.co,10829,0351161559,in.cooper,1559,ent_f574ec2b69d7
6,sandra montgomery,north donnaport,ray squares 75,sandra.montgomery@example.com,10959,0131647525,sandra.montgomery,7525,ent_ac3478d69a3c
7,sharon james,west michael,reid lakes 172,sharon.james@example.com,88342,0419283276,sharon.james,3276,ent_2ad461058384
8,sharon james,west michael,seid lakes 172,sharon.jame@example.com,88342,0419283276,sharon.jame,3276,ent_2ad461058384
9,timothy wong,south noah,amanda gardens 102,timothy.wong@example.com,84387,0724238849,timothy.wong,8849,ent_fe5dbbcea5ce
10,colleen nguyen,richardland,jeremy bypass 150,colleen.nguyen@example.com,28154,0653287101,colleen.nguyen,7101,ent_b9cbead613f0
11,collee nnguyen,richardland,jeremy bypass 150,colleen.nguyen@example.co,28154,0653217101,colleen.nguyen,7101,ent_b9cbead613f0
12,latoya robbins,thomasberg,diana locks 76,latoya.robbins@example.com,32826,0627048281,latoya.robbins,8281,ent_17ba0791499d
13,kimberly burgess,jeffreyberg,hurst locks 77,kimberly.burgess@example.com,67285,0893252880,kimberly.burgess,2880,ent_7b52009b64fd
14,peter callahan jr,south patrickmouth,laura manors 126,peter.callahan.jr.@example.com,69853,0015430391,peter.callahan.jr.,0391,ent_760ada105c71
15,peter callahan jr,south patrickmouth,laura maonrs 126,peter.callahan.jr.@example.com,69853,0015430391,peter.callahan.jr.,0391,ent_760ada105c71
16,peter calalhan jr,south patrickmouth,laura manors 126,peter.callahan.jr.@example.com,69853,0015430391,peter.callahan.jr.,0391,ent_760ada105c71
17,juan dunlap,kaylamouth,erin plain 17,juan.dunlap@example.com,15122,0509839301,juan.dunlap,9301,ent_1574bddb75c7
18,christopher smith,new rita,stanton track 16,christopher.smith@example.com,82460,0310518347,christopher.smith,8347,ent_9e7dd4fe59db
19,christopher smith,new rita,satnton track 16,christopher.smith@example.com,82460,0310518347,christopher.smith,8347,ent_9e7dd4fe59db
20,mark lynch,new mariotown,nathaniel estates 187,mark.lynch@example.com,15163,0010651333,mark.lynch,1333,ent_b3f0c7f6bb76
21,sherry decker,north jessicaland,allen garden 36,sherry.decker@example.com,70323,0624731781,sherry.decker,1781,ent_91032ad7bbcb
22,sherry decker,oorth jessicaland,allen gbrden 36,sherrydecker@example.com,70323,0624731281,sherrydecker,1281,ent_472b07b9fcf2
23,betty alvarez,brandtside,joseph well 56,betty.alvarez@example.com,99495,0098050097,betty.alvarez,0097,ent_12c6fc06c99a
24,christina collins,martinezbury,kim path 136,christina.collins@example.com,8893,0208121913,christina.collins,1913,ent_d435a6cdd786
25,kevin hall,east carloston,adrian station 146,kevin.hall@example.com,43810,0399091699,kevin.hall,1699,ent_4d134bc07221
26,david caldwell,sanchezfort,amber stream 67,david.caldwell@example.com,53855,0353462475,david.caldwell,2475,ent_f6e1126cedeb
27,brent jordan,lake deniseville,jenkins way 19,brent.jordan@example.com,8445,0079911838,brent.jordan,1838,ent_8eb065776d51
28,brent jordan,lake deniseville,jenkins way 19,brent.jordan@example.com,8445,0079911838,brent.jordan,1838,ent_8eb065776d51
29,bent jordan,lake deniseville,jenkns way 19,brent.jordan@example.com,8445,0079911838,brent.jordan,1838,ent_8eb065776d51
